,Distance,Force,Potential,Intensity
0,1,9.000000000000001e-14,90.0,90.0
1,2,2.2500000000000002e-14,45.0,22.5
2,3,1.0000000000000002e-14,30.0,10.0
3,4,5.6250000000000005e-15,22.5,5.625
4,5,3.6e-15,18.0,3.6
5,6,2.5000000000000004e-15,15.0,2.5
6,7,1.8367346938775512e-15,12.857142857142858,1.836734693877551
7,8,1.4062500000000001e-15,11.25,1.40625
8,9,1.1111111111111112e-15,10.0,1.1111111111111112
9,10,9e-16,9.0,0.9
10,11,7.43801652892562e-16,8.181818181818182,0.743801652892562
11,12,6.250000000000001e-16,7.5,0.625
12,13,5.325443786982249e-16,6.923076923076923,0.5325443786982249
13,14,4.591836734693878e-16,6.428571428571429,0.45918367346938777
14,15,4.0000000000000004e-16,6.0,0.4
15,16,3.5156250000000003e-16,5.625,0.3515625
16,17,3.114186851211073e-16,5.294117647058823,0.31141868512110726
17,18,2.777777777777778e-16,5.0,0.2777777777777778
18,19,2.4930747922437674e-16,4.7368421052631575,0.24930747922437674
19,20,2.25e-16,4.5,0.225
20,21,2.0408163265306123e-16,4.285714285714286,0.20408163265306123
21,22,1.859504132231405e-16,4.090909090909091,0.1859504132231405
22,23,1.7013232514177696e-16,3.9130434782608696,0.17013232514177692
23,24,1.5625000000000002e-16,3.75,0.15625
24,25,1.4400000000000002e-16,3.6,0.144
25,26,1.3313609467455622e-16,3.4615384615384617,0.13313609467455623
26,27,1.234567901234568e-16,3.3333333333333335,0.12345679012345678
27,28,1.1479591836734695e-16,3.2142857142857144,0.11479591836734694
28,29,1.0701545778834721e-16,3.103448275862069,0.1070154577883472
29,30,1.0000000000000001e-16,3.0,0.1
30,31,9.365244536940688e-17,2.903225806451613,0.09365244536940687
31,32,8.789062500000001e-17,2.8125,0.087890625
32,33,8.264462809917356e-17,2.727272727272727,0.08264462809917356
33,34,7.785467128027682e-17,2.6470588235294117,0.07785467128027682
34,35,7.346938775510205e-17,2.5714285714285716,0.07346938775510205
35,36,6.944444444444445e-17,2.5,0.06944444444444445
